Date,Invoice,Customer,Product,Category,Qty,Unit,Total,GST%,City
1/1/2026,INV1001,Tata Steel 1,Chain Pulley Block,Rigging,12,3123,37476,18,Noida
1/2/2026,INV1002,Larsen & Toubro 1,Chain Sling,Safety,5,4787,23935,18,Jaipur
1/3/2026,INV1003,JSW Steel 1,Chain Pulley Block,Lifting,19,3116,59204,18,Jaipur
1/4/2026,INV1004,Jindal Steel 1,Chain Sling,Lifting,10,4957,49570,18,Jaipur
1/5/2026,INV1005,BHEL 1,Web Sling,Rigging,2,6520,13040,18,Faridabad
1/6/2026,INV1006,Tata Steel 2,Chain Sling,Lifting,18,6500,117000,18,Faridabad
1/7/2026,INV1007,Larsen & Toubro 2,Eye Bolt,Lifting,2,5722,11444,18,Faridabad
1/8/2026,INV1008,JSW Steel 2,Shackle,Rigging,20,2863,57260,18,Gurugram
1/9/2026,INV1009,Jindal Steel 2,Chain Pulley Block,Rigging,14,4442,62188,18,Gurugram
1/10/2026,INV1010,BHEL 2,Web Sling,Rigging,16,4488,71808,18,Jaipur
1/11/2026,INV1011,Tata Steel 3,Chain Pulley Block,Safety,11,5693,62623,18,Noida
1/12/2026,INV1012,Larsen & Toubro 3,Wire Rope,Rigging,10,6729,67290,18,Jaipur
1/13/2026,INV1013,JSW Steel 3,Web Sling,Rigging,19,1103,20957,18,Gurugram
1/14/2026,INV1014,Jindal Steel 3,Wire Rope,Lifting,10,6116,61160,18,Delhi
1/15/2026,INV1015,BHEL 3,Wire Rope,Safety,13,1490,19370,18,Noida
1/16/2026,INV1016,Tata Steel 4,Eye Bolt,Rigging,20,6770,135400,18,Gurugram
1/17/2026,INV1017,Larsen & Toubro 4,Shackle,Safety,15,5399,80985,18,Gurugram
1/18/2026,INV1018,JSW Steel 4,Web Sling,Rigging,10,1269,12690,18,Gurugram
1/19/2026,INV1019,Jindal Steel 4,Wire Rope,Lifting,18,1858,33444,18,Jaipur
1/20/2026,INV1020,BHEL 4,Chain Pulley Block,Rigging,15,4523,67845,18,Noida
1/21/2026,INV1021,Tata Steel 5,Shackle,Safety,10,1790,17900,18,Jaipur
1/22/2026,INV1022,Larsen & Toubro 5,Web Sling,Safety,14,1968,27552,18,Noida
1/23/2026,INV1023,JSW Steel 5,Chain Sling,Rigging,9,2570,23130,18,Delhi
1/24/2026,INV1024,Jindal Steel 5,Chain Sling,Safety,20,1423,28460,18,Noida
1/25/2026,INV1025,BHEL 5,Chain Sling,Rigging,4,546,2184,18,Gurugram
